ssrd,longitude,latitude
19550544.00000000,119,5.3
19741460.00000000,119.1,5.3
19954538.00000000,119.2,5.3
20708800.00000000,120.2,5.3
9318268,95.3,5.2
9730360,95.4,5.2
10195052.00000000,95.5,5.2
10596512.00000000,95.6,5.2
10724428.00000000,95.7,5.2
10740802.00000000,95.8,5.2
10741376.00000000,95.9,5.2
10651312.00000000,96,5.2
10534696.00000000,96.1,5.2
10505742.00000000,96.2,5.2
10559428.00000000,96.3,5.2
10811194.00000000,96.6,5.2
11067150.00000000,96.7,5.2
11265958.00000000,96.8,5.2
11445900.00000000,96.9,5.2
11617254.00000000,97,5.2
11683050.00000000,97.1,5.2
11794218.00000000,97.4,5.2
11792868.00000000,97.5,5.2
3995910,100.5,5.2
4081030,100.6,5.2
4155910,100.7,5.2
4212718,100.8,5.2
4265702,100.9,5.2
4343900,101,5.2
4472350,101.1,5.2
4603266,101.2,5.2
4886802,101.3,5.2
5319502,101.4,5.2
5752784,101.5,5.2
6180178,101.6,5.2
6605110,101.7,5.2
7001228,101.8,5.2
7123756,101.9,5.2
7170472,102,5.2
7147854,102.1,5.2
6838704,102.2,5.2
6485038,102.3,5.2
6211568,102.4,5.2
5954634,102.5,5.2
5707440,102.6,5.2
5809404,102.7,5.2
6307622,102.8,5.2
6816400,102.9,5.2
7319912,103,5.2
7859608,103.1,5.2
8391476,103.2,5.2
19232930.00000000,115.6,5.2
18892320.00000000,115.7,5.2
18532266.00000000,115.8,5.2
18261486.00000000,115.9,5.2
18021144.00000000,116,5.2
17773834.00000000,116.1,5.2
17632442.00000000,116.2,5.2
17629254.00000000,116.3,5.2
17617198.00000000,116.4,5.2
17596680.00000000,116.5,5.2
17706790.00000000,116.6,5.2
17825512.00000000,116.7,5.2
18047398.00000000,116.8,5.2
18302328.00000000,116.9,5.2
18541988.00000000,117,5.2
18748708.00000000,117.1,5.2
18969598.00000000,117.2,5.2
19130708.00000000,117.3,5.2
19070418.00000000,117.4,5.2
19004346.00000000,117.5,5.2
18873594.00000000,117.6,5.2
18517786.00000000,117.7,5.2
18145338.00000000,117.8,5.2
17801752.00000000,117.9,5.2
17480658.00000000,118,5.2
17162698.00000000,118.1,5.2
17263786.00000000,118.2,5.2
17448216.00000000,118.3,5.2
17637114.00000000,118.4,5.2
17949752.00000000,118.5,5.2
18275476.00000000,118.6,5.2
18589330.00000000,118.7,5.2
18953738.00000000,118.8,5.2
19337920.00000000,118.9,5.2
19658990.00000000,119,5.2
19841136.00000000,119.1,5.2
20029338.00000000,119.2,5.2
20704332.00000000,120.2,5.2
9265926,95.4,5.1
9721746,95.5,5.1
9961238,95.6,5.1
10040878.00000000,95.7,5.1
10064152.00000000,95.8,5.1
10062696.00000000,95.9,5.1
9974684,96,5.1
9885674,96.1,5.1
